64079	54185.00						
64151	43215.00						
64477	41164.00						
65085	36573.00						
65231	37723.00						
65026	38586.00						
65350	32563.00						
63556	37627.00						
65609	49118.00						
63011	43461.00						
63021	35381.00						
63022	41546.00						
63024	45573.00						
63531	41314.00						
64423	44248.00						
63530	41279.00						
65011	30017.00						
63012	63031.00						
64011	30816.00						
63134	40352.00						
63140	51394.00						
65550	39712.00						
63363	60641.00						
64437	52461.00						
65610	52023.00						
65233	44397.00						
65066	37299.00						
65612	30816.00						
63960	40352.00						
63533	51394.00						
64720	39712.00						
63730	60641.00						
63123	52461.00						
64401	52023.00						
64830	30816.00						
64402	40352.00						
65601	51394.00						
63430	39712.00						
63655	60641.00						
64420	52461.00						
						
